Years_Left,Expected_Return,Risk_Profile,Asset_Allocation
1,5,1,Debt - 100%
1,6,1,Debt - 100%
1,7,2,"Debt - 90%, Equity - 10%"
1,8,2,"Debt - 90%, Equity - 10%"
2,5,1,Debt - 100%
2,6,2,"Debt - 90%, Equity - 10%"
2,7,3,"Debt - 80%, Equity - 20%"
2,8,3,"Debt - 80%, Equity - 20%"
3,5,1,Debt - 100%
3,6,2,"Debt - 90%, Equity - 10%"
3,7,3,"Debt - 80%, Equity - 20%"
3,8,4,"Debt - 70%, Equity - 30%"
3,9,5,"Debt - 50%, Equity - 50%"
3,10,6,"Equity - 60%, Debt - 40%"
4,5,2,"Debt - 90%, Equity - 10%"
4,6,3,"Debt - 80%, Equity - 20%"
4,7,4,"Debt - 70%, Equity - 30%"
4,8,5,"Debt - 50%, Equity - 50%"
4,9,6,"Equity - 60%, Debt - 40%"
4,10,7,"Equity - 70%, Debt - 30%"
5,5,3,"Debt - 80%, Equity - 20%"
5,6,3,"Debt - 80%, Equity - 20%"
5,7,4,"Debt - 70%, Equity - 30%"
5,8,5,"Debt - 50%, Equity - 50%"
5,9,6,"Equity - 60%, Debt - 40%"
5,10,7,"Equity - 70%, Debt - 30%"
5,11,8,"Equity - 80%, Debt - 20%"
5,12,8,"Equity - 80%, Debt - 20%"
6,5,3,"Debt - 80%, Equity - 20%"
6,6,3,"Debt - 80%, Equity - 20%"
6,7,4,"Debt - 70%, Equity - 30%"
6,8,5,"Debt - 50%, Equity - 50%"
6,9,6,"Equity - 60%, Debt - 40%"
6,10,7,"Equity - 70%, Debt - 30%"
6,11,8,"Equity - 80%, Debt - 20%"
6,12,9,"Equity - 90%, Debt - 10%"
7,5,3,"Debt - 80%, Equity - 20%"
7,6,3,"Debt - 80%, Equity - 20%"
7,7,4,"Debt - 70%, Equity - 30%"
7,8,5,"Debt - 50%, Equity - 50%"
7,9,6,"Equity - 60%, Debt - 40%"
7,10,7,"Equity - 70%, Debt - 30%"
7,11,8,"Equity - 80%, Debt - 20%"
7,12,9,"Equity - 90%, Debt - 10%"
7,13,9,"Equity - 90%, Debt - 10%"
7,14,10,Equity - 100%
7,15,10,Equity - 100%
8,5,3,"Debt - 80%, Equity - 20%"
8,6,3,"Debt - 80%, Equity - 20%"
8,7,4,"Debt - 70%, Equity - 30%"
8,8,5,"Debt - 50%, Equity - 50%"
8,9,6,"Equity - 60%, Debt - 40%"
8,10,7,"Equity - 70%, Debt - 30%"
8,11,8,"Equity - 80%, Debt - 20%"
8,12,9,"Equity - 90%, Debt - 10%"
8,13,9,"Equity - 90%, Debt - 10%"
8,14,10,Equity - 100%
8,15,10,Equity - 100%
